21450000	21850000	nmhh	H19A		Vasúti alkalmazások (Loop/Euroloop rendszerek) (SRD).	ERC/REC 70-03 4. melléklete MSZ EN 302 609	Vasúti pálya - vasúti szerelvény irányú összeköttetések. Adás csak vasúti szerelvény jelenlétében lehet. Közepes frekvencia: 13 547 kHz. Egyedi engedélyezési kötelezettség alól mentesítve.
21850000	21870000	nmhh	ÁLLANDÓHELYŰ				
21850000	21870000	nmhh	H26	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
21850000	21870000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
21850000	21870000	nmhh	H19A		Vasúti alkalmazások (Loop/Euroloop rendszerek) (SRD).	ERC/REC 70-03 4. melléklete MSZ EN 302 609	Vasúti pálya - vasúti szerelvény irányú összeköttetések. Adás csak vasúti szerelvény jelenlétében lehet. Közepes frekvencia: 13 547 kHz. Egyedi engedélyezési kötelezettség alól mentesítve.
21870000	21924000	nmhh	ÁLLANDÓHELYŰ				
21870000	21924000	nmhh	H42	K	A légiforgalom biztonságával összefüggő szolgálat nyújtására szolgáló pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
21870000	21924000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
21870000	21924000	nmhh	H19A		Vasúti alkalmazások (Loop/Euroloop rendszerek) (SRD).	ERC/REC 70-03 4. melléklete MSZ EN 302 609	Vasúti pálya - vasúti szerelvény irányú összeköttetések. Adás csak vasúti szerelvény jelenlétében lehet. Közepes frekvencia: 13 547 kHz. Egyedi engedélyezési kötelezettség alól mentesítve.
21924000	22000000	nmhh	(R) LÉGI MOZGÓ				
21924000	22000000	nmhh	H4	K	Levegő-föld irányú beszéd- és adatátviteli összeköttetések nemzetközi és nemzeti polgári légiútvonalakon.	RR 27. FüggelékICAO Annex 10:III. kötet II. rész 2. fejezet 2.4. pontV. kötet 2. fejezet és 3. fejezet 3.1. pont	Nemzetközi (ITU) sáv- és csatornakiosztás (3 kHz, SSB).
21924000	22000000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
21924000	22000000	nmhh	H19A		Vasúti alkalmazások (Loop/Euroloop rendszerek) (SRD).	ERC/REC 70-03 4. melléklete MSZ EN 302 609	Vasúti pálya - vasúti szerelvény irányú összeköttetések. Adás csak vasúti szerelvény jelenlétében lehet. Közepes frekvencia: 13 547 kHz. Egyedi engedélyezési kötelezettség alól mentesítve.
22000000	22855000	nmhh	TENGERI MOZGÓ				
22000000	22855000	nmhh	H17	K	Keskenysávú távgépíró és SSB rádiótelefon üzemű parti állomások.	RR 51. és 52. Cikkek; RR 17. Függelék MSZ EN 300 373-2	
22000000	22855000	nmhh	H16		GMDSS keretén belül, tengeri biztonsági közlemények (MSI) adásai a 22 376 kHz nemzetközi frekvencián.	RR 31., 32. és 33. Cikk RR 15. és 17. Függelékek MSZ EN 300 373-2	
22000000	22855000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
22000000	22855000	nmhh	H19A		Vasúti alkalmazások (Loop/Euroloop rendszerek) (SRD).	ERC/REC 70-03 4. melléklete MSZ EN 302 609	Vasúti pálya - vasúti szerelvény irányú összeköttetések. Adás csak vasúti szerelvény jelenlétében lehet. Közepes frekvencia: 13 547 kHz. Egyedi engedélyezési kötelezettség alól mentesítve.
22855000	23000000	nmhh	ÁLLANDÓHELYŰ				
22855000	23000000	nmhh	H26	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
22855000	23000000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
22855000	23000000	nmhh	H19A		Vasúti alkalmazások (Loop/Euroloop rendszerek) (SRD).	ERC/REC 70-03 4. melléklete MSZ EN 302 609	Vasúti pálya - vasúti szerelvény irányú összeköttetések. Adás csak vasúti szerelvény jelenlétében lehet. Közepes frekvencia: 13 547 kHz. Egyedi engedélyezési kötelezettség alól mentesítve.
23000000	23200000	nmhh	ÁLLANDÓHELYŰ				
23000000	23200000	nmhh	H26	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
23000000	23200000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
23200000	23350000	nmhh	ÁLLANDÓHELYŰ				
23200000	23350000	nmhh	H42	K	A légiforgalom biztonságával összefüggő szolgálat nyújtására szolgáló pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
23200000	23350000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
23350000	24000000	nmhh	ÁLLANDÓHELYŰ				
23350000	24000000	nmhh	H26	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
23350000	24000000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
24000000	24890000	nmhh	ÁLLANDÓHELYŰ				
24000000	24890000	nmhh	H26	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
24000000	24890000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
24890000	24990000	nmhh	AMATŐR				
24890000	24990000	nmhh	H11	K	Amatőrrádiózás.	ECC/REC/(02)01; MSZ EN 301 783-2	2. melléklet IV. fejezet
24890000	24990000	nmhh	MŰHOLDAS AMATŐR				
24890000	24990000	nmhh	H39		Műholdas amatőrrádiózás.		
24890000	24990000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
24990000	25005000	nmhh	HITELES FREKVENCIA ÉS ÓRAJEL				
24990000	25005000	nmhh	H8	K	Hiteles frekvencia és órajel alkalmazások.		
24990000	25005000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
25005000	25010000	nmhh	HITELES FREKVENCIA ÉS ÓRAJEL				
25005000	25010000	nmhh	H8	K	Hiteles frekvencia és órajel alkalmazások.		
25005000	25010000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
25010000	25070000	nmhh	ÁLLANDÓHELYŰ				
25010000	25070000	nmhh	H26	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
25010000	25070000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
25070000	25210000	nmhh	TENGERI MOZGÓ				
25070000	25210000	nmhh	H17	K	Keskenysávú távgépíró és SSB rádiótelefon üzemű parti állomások.	RR 51. és 52. Cikkek; RR 17. Függelék MSZ EN 300 373-2	
25070000	25210000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
25210000	25550000	nmhh	ÁLLANDÓHELYŰ				
25210000	25550000	nmhh	H26	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
25210000	25550000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
25550000	25670000	nmhh	RÁDIÓ-CSILLAGÁSZAT				
25550000	25670000	nmhh	H41	K	A rádiócsillagászat alkalmazásai.		
25550000	25670000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
25670000	26100000	nmhh	MŰSORSZÓRÁS				
25670000	26100000	nmhh	H32	K	Analóg RH rádió-műsorszórás.	RR 12. CikkITU-R BS.560-4, BS.639, BS.640-3 AjánlásT/R 51-01MSZ EN 302 017-2	
25670000	26100000	nmhh	H32		Digitális RH rádió-műsorszórás.	RR 12. CikkITU-R BS.1514-2, BS.1615 AjánlásT/R 51-01MSZ EN 302 245-2	
25670000	26100000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
26100000	26175000	nmhh	TENGERI MOZGÓ				
26100000	26175000	nmhh	H17	K	Keskenysávú távgépíró és SSB rádiótelefon üzemű parti állomások.	RR 51. és 52. Cikkek; RR 17. Függelék MSZ EN 300 373-2	
26100000	26175000	nmhh	H16		GMDSS keretén belül, tengeri biztonsági közlemények (MSI) adásai a 26 100,5 kHz nemzetközi frekvencián.	RR 31., 32. és 33. CikkekRR 15. és 17. Függelékek MSZ EN 300 373-2	
26100000	26175000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
26175000	26510000	nmhh	H2	K	Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
26510000	27500000	nmhh	ÁLLANDÓHELYŰMOZGÓ, a légi mozgó kivételével				
26510000	27500000	nmhh	H44	K	CB alkalmazások a 26 960-27 410 kHz sávban (kivéve a26 995 kHz, 27 045 kHz, 27 095 kHz, 27 145 kHz és a27 195 kHz frekvenciát).	ERC/DEC/(95)01, ECC/DEC/(11)03 MSZ EN 300 135-2, MSZ EN 300 433-2	Csatornaosztás: 10 kHz.Egyedi engedélyezési kötelezettség alól mentesítve.
26510000	27500000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletben meghatározottakkal.Egyedi engedélyezési kötelezettség alól mentesítve.Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
26510000	27500000	nmhh	H19A		Vasúti alkalmazások (Balise/Eurobalise rendszerek és Loop/Euroloop aktiváló rendszerek) (SRD) a 27 090-27 100 kHz sávban.	ERC/REC 70-03 4. mellékleteMSZ EN 300 330-2; MSZ EN 302 608	Balise energia-távellátó jel átvitele és vasúti szerelvény - vasúti pálya irányú összeköttetések Balise/Eurobalise részére. A Loop/Euroloop aktiválására is használható esetenként.Sávközépi frekvencia: 27 095 kHz.Egyedi engedélyezési kötelezettség alól mentesítve.
26510000	27500000	nmhh	H38		Általános alkalmazású (távmérő, távirányító, riasztó,adatátviteli és hasonló célú) kis hatótávolságú eszközök (SRD) a 26 957-27 283 kHz sávban.	2006/771/EK; 2011/829/EUERC/REC 70-031. mellékleteMSZ EN 300 220-2MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
26510000	27500000	nmhh	H38		Távirányító, távmérő, távjelző és vagyonvédelmi eszközök (SRD) a 26 545 kHz, 26 595 kHz, 26 645 kHz, 26 695 kHz, 26 745 kHz, 27 445 kHz, 27 495 kHz frekvenciákon.	MSZ EN 300 220-2	2. melléklet V. fejezetEgyedi engedélyezési kötelezettség alól mentesítve.
26510000	27500000	nmhh	H38		Távirányító, távmérő, távjelző, személy- és vagyonvédelmi célú kisteljesítményű alkalmazások (SRD) a 26 995 kHz, 27 045 kHz, 27 095 kHz, 27 145 kHz, 27 195 kHz frekvenciákon.		
26510000	27500000	nmhh	H45		Játékvezérlők (SRD) a 26 990-27 000 kHz, 27 040-27 050 kHz, 27 090-27 100 kHz, 27 140-27 150 kHz és a 27 190-27 200 kHz sávban.		
26510000	27500000	nmhh	H45		Modellirányítók (SRD) a 26 990-27 000 kHz, 27 040-27 050 kHz, 27 090-27 100 kHz, 27 140-27 150 kHz és a 27 190-27 200 kHz sávban.	2006/771/EK; 2011/829/EU ERC/REC 70-03 8. melléklete MSZ EN 300 220-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
27500000	27860000	nmhh	METEOROLÓGIA				
27500000	27860000	nmhh	H46	K	Meteorológiai alkalmazások.		
27500000	27860000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
27500000	27860000	nmhh	H38		Távirányító, távmérő, távjelző és vagyonvédelmi eszközök (SRD) a 27 545 kHz, 27 595 kHz, 27 645 kHz frekvenciákon.	MSZ EN 300 220-2	2. melléklet V. fejezetEgyedi engedélyezési kötelezettség alól mentesítve.
27860000	28000000	nmhh	METEOROLÓGIA				
27860000	28000000	nmhh	H46	K	Meteorológiai alkalmazások.		
27860000	28000000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
28000000	29700000	nmhh	AMATŐR				
28000000	29700000	nmhh	H11	K	Amatőrrádiózás.	ECC/REC/(02)01; MSZ EN 301 783-2	2. melléklet IV. fejezet
28000000	29700000	nmhh	MŰHOLDAS AMATŐR				
28000000	29700000	nmhh	H39		Műholdas amatőrrádiózás.		
28000000	29700000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
29700000	30005000	nmhh	H2	K	Induktív alkalmazások (SRD) a 29,7-30 MHz sávban.	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
29700000	30005000	nmhh	H5		Vérnyomásmérésre szolgáló nagyon kis teljesítményű orvosi membrán implantátumok (SRD) a 30-30,005 MHz sávban.	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 510-2	
30005000	30010000	nmhh	H5	K	Vérnyomásmérésre szolgáló nagyon kis teljesítményű orvosi membrán implantátumok (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 510-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
30010000	34995000	nmhh	H5	K	Vérnyomásmérésre szolgáló nagyon kis teljesítményű orvosi membrán implantátumok (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 510-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
30010000	34995000	nmhh	H29		Rádiómikrofonok (SRD) a 34,9-34,995 MHz sávban.	ERC/REC 70-03 10. melléklete MSZ EN 300 422-2	Egyedi engedélyezési kötelezettség alól mentesítve.
34995000	35225000	nmhh	H5	K	Vérnyomásmérésre szolgáló nagyon kis teljesítményű orvosi membrán implantátumok (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 510-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
34995000	35225000	nmhh	H29		Rádiómikrofonok (SRD).	ERC/REC 70-03 10. melléklete MSZ EN 300 422-2	Egyedi engedélyezési kötelezettség alól mentesítve.
34995000	35225000	nmhh	H45		Légimodell-irányítók (SRD).	ERC/DEC/(01)11ERC/REC 70-03 8. mellékleteMSZ EN 300 220-2	
35225000	37500000	nmhh	H5	K	Vérnyomásmérésre szolgáló nagyon kis teljesítményű orvosi membrán implantátumok (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 510-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
35225000	37500000	nmhh	H29		Rádiómikrofonok (SRD).	ERC/REC 70-03 10. melléklete MSZ EN 300 422-2	Egyedi engedélyezési kötelezettség alól mentesítve.
37500000	38250000	nmhh	Rádiócsillagászat				
37500000	38250000	nmhh	H41	K	A rádiócsillagászat alkalmazásai.		
37500000	38250000	nmhh	H29		Rádiómikrofonok (SRD).	ERC/REC 70-03 10. melléklete MSZ EN 300 422-2	Egyedi engedélyezési kötelezettség alól mentesítve.
38250000	39986000	nmhh	Mozgó				
38250000	39986000	nmhh	H49	K	Meteoritszóráson alapuló (meteor scatter) alkalmazások a 39-39,2 MHz sávban.	ERC/REC/(00)04 MSZ EN 300 113-2	A végfelhasználói állomás egyedi engedélyezési kötelezettség alól mentesítve.
38250000	39986000	nmhh	H29		Rádiómikrofonok (SRD) a 38,25-38,5 MHz sávban.	ERC/REC 70-03 10. melléklete MSZ EN 300 422-2	Egyedi engedélyezési kötelezettség alól mentesítve.
39986000	40020000	empty
40020000	40980000	nmhh	Földi mozgó				
40020000	40980000	nmhh	H50	K	Kis hatókörzetű személyhívók a 40,665 MHz, 40,675 MHz, 40,685 MHz, 40,695 MHz frekvenciákon.	ECC/REC/(02)01; MSZ EN 300 224-2	
40020000	40980000	nmhh	H38		Általános alkalmazású (távmérő, távirányító, riasztó,adatátviteli és hasonló célú) kis hatótávolságú eszközök (SRD) a 40,66-40,70 MHz sávban.	2006/771/EK; 2011/829/EU ERC/REC 70-031. melléklete MSZ EN 300 220-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
40020000	40980000	nmhh	H38		Távirányító, távmérő, távjelző, személy- és vagyonvédelmi célú kisteljesítményű alkalmazások (SRD) a 40,665 MHz, 40,675 MHz, 40,685 MHz, 40,695 MHz frekvenciákon.	MSZ EN 300 220-2	2. melléklet V. fejezetEgyedi engedélyezési kötelezettség alól mentesítve.
40020000	40980000	nmhh	H45		Modellirányítók (SRD) a 40,665 MHz, 40,675 MHz, 40,685 MHz, 40,695 MHz frekvenciákon.	ERC/DEC/(01)12ERC/REC 70-03 8. mellékleteMSZ EN 300 220-2	Egyedi engedélyezési kötelezettség alól mentesítve.
40020000	40980000	nmhh	H45		Játékvezérlők (SRD) a 40,665 MHz, 40,675 MHz, 40,685 MHz, 40,695 MHz frekvenciákon.	MSZ EN 300 220-2	2. melléklet V. fejezetEgyedi engedélyezési kötelezettség alól mentesítve.
40980000	48500000	empty
48500000	50000000	nmhh	MŰSORSZÓRÁS				
48500000	50000000	nmhh	H52	Ü	Földfelszíni analóg televízió-műsorszórás.	1961. évi Stockholmi Megállapodás (módosítva1985-ben és 2006-ban Genfben) ITU-R BT.417-5, BT.419-3, BT.470-7,BT.655-7, SM.851-1 Ajánlás T/R 51-01 MSZ EN 302 297, MSZ 17203	D-rendszerű tv-adás.
50000000	52000000	nmhh	MŰSORSZÓRÁS				
50000000	52000000	nmhh	H52	Ü	Földfelszíni analóg televízió-műsorszórás.	1961. évi Stockholmi Megállapodás (módosítva1985-ben és 2006-ban Genfben) ITU-R BT.417-5, BT.419-3, BT.470-7,BT.655-7, SM.851-1 Ajánlás T/R 51-01 MSZ EN 302 297, MSZ 17203	D-rendszerű tv-adás.
50000000	52000000	nmhh	Amatőr				
50000000	52000000	nmhh	H11	K	Amatőrrádiózás.	ECC/REC/(02)01; MSZ EN 301 783-2	2. melléklet IV. fejezetNagykanizsa 50 km-es körzetében 2013. december 31-igforgalmazás csak állandóhelyű állomásról megengedett. ERPmax = 10 W.
52000000	56500000	nmhh	MŰSORSZÓRÁS				
52000000	56500000	nmhh	H52	Ü	Földfelszíni analóg televízió-műsorszórás.	1961. évi Stockholmi Megállapodás (módosítva1985-ben és 2006-ban Genfben) ITU-R BT.417-5, BT.419-3, BT.470-7,BT.655-7, SM.851-1 Ajánlás T/R 51-01 MSZ EN 302 297, MSZ 17203	D-rendszerű tv-adás.
56500000	58000000	empty
58000000	66000000	nmhh	MŰSORSZÓRÁS				
58000000	66000000	nmhh	H52	Ü	Földfelszíni analóg televízió-műsorszórás.	1961. évi Stockholmi Megállapodás (módosítva1985-ben és 2006-ban Genfben) ITU-R BT.417-5, BT.419-3, BT.470-7,BT.655-7, SM.851-1 Ajánlás T/R 51-01 MSZ EN 302 297, MSZ 17203	D-rendszerű tv-adás.
66000000	70000000	empty
70000000	70500000	nmhh	Amatőr				
70000000	70500000	nmhh	H11	K	Amatőrrádiózás.	ECC/REC/(02)01; MSZ EN 301 783-2	2. melléklet IV. fejezet ERPmax = 10 W.
70500000	74800000	empty
74800000	75200000	nmhh	LÉGI RÁDIÓNAVIGÁCIÓ				
74800000	75200000	nmhh	H4	K	ILS marker helyjeladó rendszer (egyirányú (föld-levegő)).	ICAO Annex 10:I. kötet 3. fejezet 3.1.7. pont I. kötet C melléklet 2. pont	Üzemi frekvencia: 75 MHz ± 0,005%
74800000	75200000	nmhh	H4		Útvonali helyjeladó rendszer (egyirányú (föld-levegő)).	ICAO Annex 10:I. kötet 3. fejezet 3.6. pont I. kötet C melléklet 5. pont	
75200000	87500000	empty
87500000	108000000	nmhh	MŰSORSZÓRÁS				
87500000	108000000	nmhh	H61	K	URH-FM rádió-műsorszórás.	Az URH rádióműsorszórás tervezésével megbízott körzeti igazgatási értekezlet (1. Körzet és a 3. Körzet egy része) (Genf, 1984) záróokirataiITU-R BS.412-9, BS.450-3, SM.1009-1 AjánlásT/R 51-01MSZ ETS 300 384, MSZ ETS 300 384/A1MSZ EN 302 018-2	
87500000	108000000	nmhh	Földi mozgó				
87500000	108000000	nmhh	H61B		PMSE alkalmazások.	MSZ ETS 300 384, MSZ ETS 300 384/A1 MSZ EN 302 018-2	ERPmax = 100 W
87500000	108000000	nmhh			Autósmozi alkalmazások		ERPmax = 1 W
87500000	108000000	nmhh	H61C		Vezetéknélküli hangfrekvenciás alkalmazások (kis teljesítményű FM adók) (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 13. melléklete MSZ EN 301 357-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
108000000	117975000	nmhh	(R) LÉGI MOZGÓ				
